Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Heterochroa desertorum,"TI=""Heterochroa desertorum"" OR AB=""Heterochroa desertorum"" OR AK=""Heterochroa desertorum""",Isabelle,0,
Pleioneura griffithiana,"TI=""Pleioneura griffithiana"" OR AB=""Pleioneura griffithiana"" OR AK=""Pleioneura griffithiana""",Isabelle,0,
Silene linnaeana,"TI=""Silene linnaeana"" OR AB=""Silene linnaeana"" OR AK=""Silene linnaeana""",Isabelle,0,
Minuartia setacea,"TI=""Minuartia setacea"" OR AB=""Minuartia setacea"" OR AK=""Minuartia setacea""",Isabelle,0,
Minuartia juniperina,"TI=""Minuartia juniperina"" OR AB=""Minuartia juniperina"" OR AK=""Minuartia juniperina""",Isabelle,2,
Eremogone blepharophylla,"TI=""Eremogone blepharophylla"" OR AB=""Eremogone blepharophylla"" OR AK=""Eremogone blepharophylla""",Isabelle,0,
Eremogone juncea,"TI=""Eremogone juncea"" OR AB=""Eremogone juncea"" OR AK=""Eremogone juncea""",Isabelle,0,
Arenaria griffithii,"TI=""Arenaria griffithii"" OR AB=""Arenaria griffithii"" OR AK=""Arenaria griffithii""",Isabelle,0,
Gypsophila diffusa,"TI=""Gypsophila diffusa"" OR AB=""Gypsophila diffusa"" OR AK=""Gypsophila diffusa""",Isabelle,0,
Gypsophila scorzonerifolia,"TI=""Gypsophila scorzonerifolia"" OR AB=""Gypsophila scorzonerifolia"" OR AK=""Gypsophila scorzonerifolia""",Isabelle,1,
Acanthophyllum glandulosum,"TI=""Acanthophyllum glandulosum"" OR AB=""Acanthophyllum glandulosum"" OR AK=""Acanthophyllum glandulosum""",Isabelle,2,
Acanthophyllum gypsophiloides,"TI=""Acanthophyllum gypsophiloides"" OR AB=""Acanthophyllum gypsophiloides"" OR AK=""Acanthophyllum gypsophiloides""",Isabelle,3,
Acanthophyllum crassifolium,"TI=""Acanthophyllum crassifolium"" OR AB=""Acanthophyllum crassifolium"" OR AK=""Acanthophyllum crassifolium""",Isabelle,0,
Dianthus zeyheri,"TI=""Dianthus zeyheri"" OR AB=""Dianthus zeyheri"" OR AK=""Dianthus zeyheri""",Isabelle,2,
Pseudostellaria davidii,"TI=""Pseudostellaria davidii"" OR AB=""Pseudostellaria davidii"" OR AK=""Pseudostellaria davidii""",Isabelle,1,
Stellaria vestita,"TI=""Stellaria vestita"" OR AB=""Stellaria vestita"" OR AK=""Stellaria vestita""",Isabelle,0,
Cerastium subpilosum,"TI=""Cerastium subpilosum"" OR AB=""Cerastium subpilosum"" OR AK=""Cerastium subpilosum""",Isabelle,0,
Stellaria chinensis,"TI=""Stellaria chinensis"" OR AB=""Stellaria chinensis"" OR AK=""Stellaria chinensis""",Isabelle,0,
Silene succulenta,"TI=""Silene succulenta"" OR AB=""Silene succulenta"" OR AK=""Silene succulenta""",Isabelle,4,
Silene gigantea,"TI=""Silene gigantea"" OR AB=""Silene gigantea"" OR AK=""Silene gigantea""",Isabelle,3,
Silene senno,"TI=""Silene senno"" OR AB=""Silene senno"" OR AK=""Silene senno""",Isabelle,0,
Silene firma,"TI=""Silene firma"" OR AB=""Silene firma"" OR AK=""Silene firma""",Isabelle,1,
Silene aprica,"TI=""Silene aprica"" OR AB=""Silene aprica"" OR AK=""Silene aprica""",Isabelle,2,
Silene cognata,"TI=""Silene cognata"" OR AB=""Silene cognata"" OR AK=""Silene cognata""",Isabelle,0,
Dianthus glacialis,"TI=""Dianthus glacialis"" OR AB=""Dianthus glacialis"" OR AK=""Dianthus glacialis""",Isabelle,2,
Dianthus elegans,"TI=""Dianthus elegans"" OR AB=""Dianthus elegans"" OR AK=""Dianthus elegans""",Isabelle,1,
Cherleria biflora,"TI=""Cherleria biflora"" OR AB=""Cherleria biflora"" OR AK=""Cherleria biflora""",Isabelle,0,
Cerastium cerastoides,"TI=""Cerastium cerastoides"" OR AB=""Cerastium cerastoides"" OR AK=""Cerastium cerastoides""",Isabelle,5,
Saponaria pumilio,"TI=""Saponaria pumilio"" OR AB=""Saponaria pumilio"" OR AK=""Saponaria pumilio""",Isabelle,0,
Silene tatarinowii,"TI=""Silene tatarinowii"" OR AB=""Silene tatarinowii"" OR AK=""Silene tatarinowii""",Isabelle,5,
Silene gracilicaulis,"TI=""Silene gracilicaulis"" OR AB=""Silene gracilicaulis"" OR AK=""Silene gracilicaulis""",Isabelle,0,
Silene fabarioides,"TI=""Silene fabarioides"" OR AB=""Silene fabarioides"" OR AK=""Silene fabarioides""",Isabelle,1,
Pseudostellaria heterophylla,"TI=""Pseudostellaria heterophylla"" OR AB=""Pseudostellaria heterophylla"" OR AK=""Pseudostellaria heterophylla""",Isabelle,88,
Spergularia rupestris,"TI=""Spergularia rupestris"" OR AB=""Spergularia rupestris"" OR AK=""Spergularia rupestris""",Isabelle,0,
Silene exscapa,"TI=""Silene exscapa"" OR AB=""Silene exscapa"" OR AK=""Silene exscapa""",Isabelle,1,
Silene taimyrensis,"TI=""Silene taimyrensis"" OR AB=""Silene taimyrensis"" OR AK=""Silene taimyrensis""",Isabelle,0,
Silene undulata,"TI=""Silene undulata"" OR AB=""Silene undulata"" OR AK=""Silene undulata""",Isabelle,0,
Silene stricta,"TI=""Silene stricta"" OR AB=""Silene stricta"" OR AK=""Silene stricta""",Isabelle,1,
Stellaria ovata,"TI=""Stellaria ovata"" OR AB=""Stellaria ovata"" OR AK=""Stellaria ovata""",Isabelle,0,
Cerastium regelii,"TI=""Cerastium regelii"" OR AB=""Cerastium regelii"" OR AK=""Cerastium regelii""",Isabelle,2,
Dianthus pallidiflorus,"TI=""Dianthus pallidiflorus"" OR AB=""Dianthus pallidiflorus"" OR AK=""Dianthus pallidiflorus""",Isabelle,0,
Facchinia rupestris,"TI=""Facchinia rupestris"" OR AB=""Facchinia rupestris"" OR AK=""Facchinia rupestris""",Isabelle,0,
Cerastium pumilum,"TI=""Cerastium pumilum"" OR AB=""Cerastium pumilum"" OR AK=""Cerastium pumilum""",Isabelle,3,
Cerastium lanceolatum,"TI=""Cerastium lanceolatum"" OR AB=""Cerastium lanceolatum"" OR AK=""Cerastium lanceolatum""",Isabelle,1,
Paronychia cephalotes,"TI=""Paronychia cephalotes"" OR AB=""Paronychia cephalotes"" OR AK=""Paronychia cephalotes""",Isabelle,1,
Saponaria calabrica,"TI=""Saponaria calabrica"" OR AB=""Saponaria calabrica"" OR AK=""Saponaria calabrica""",Isabelle,0,
Spergularia macrotheca,"TI=""Spergularia macrotheca"" OR AB=""Spergularia macrotheca"" OR AK=""Spergularia macrotheca""",Isabelle,0,
Sabulina rossii,"TI=""Sabulina rossii"" OR AB=""Sabulina rossii"" OR AK=""Sabulina rossii""",Isabelle,1,
Silene ionica,"TI=""Silene ionica"" OR AB=""Silene ionica"" OR AK=""Silene ionica""",Isabelle,0,
Silene graeca,"TI=""Silene graeca"" OR AB=""Silene graeca"" OR AK=""Silene graeca""",Isabelle,0,
Eremogone bryophylla,"TI=""Eremogone bryophylla"" OR AB=""Eremogone bryophylla"" OR AK=""Eremogone bryophylla""",Isabelle,0,
Minuartia globulosa,"TI=""Minuartia globulosa"" OR AB=""Minuartia globulosa"" OR AK=""Minuartia globulosa""",Isabelle,0,
Silene parnassica,"TI=""Silene parnassica"" OR AB=""Silene parnassica"" OR AK=""Silene parnassica""",Isabelle,1,
Silene cythnia,"TI=""Silene cythnia"" OR AB=""Silene cythnia"" OR AK=""Silene cythnia""",Isabelle,0,
Silene niederi,"TI=""Silene niederi"" OR AB=""Silene niederi"" OR AK=""Silene niederi""",Isabelle,0,
Silene goulimyi,"TI=""Silene goulimyi"" OR AB=""Silene goulimyi"" OR AK=""Silene goulimyi""",Isabelle,0,
Silene nemoralis,"TI=""Silene nemoralis"" OR AB=""Silene nemoralis"" OR AK=""Silene nemoralis""",Isabelle,0,
Silene albescens,"TI=""Silene albescens"" OR AB=""Silene albescens"" OR AK=""Silene albescens""",Isabelle,0,
Silene boryi,"TI=""Silene boryi"" OR AB=""Silene boryi"" OR AK=""Silene boryi""",Isabelle,0,
Cerastium arcticum,"TI=""Cerastium arcticum"" OR AB=""Cerastium arcticum"" OR AK=""Cerastium arcticum""",Isabelle,9,
Spergularia marina,"TI=""Spergularia marina"" OR AB=""Spergularia marina"" OR AK=""Spergularia marina""",Isabelle,56,
Silene rosulata,"TI=""Silene rosulata"" OR AB=""Silene rosulata"" OR AK=""Silene rosulata""",Isabelle,0,
Dianthus benearnensis,"TI=""Dianthus benearnensis"" OR AB=""Dianthus benearnensis"" OR AK=""Dianthus benearnensis""",Isabelle,0,
Arenaria ciliata,"TI=""Arenaria ciliata"" OR AB=""Arenaria ciliata"" OR AK=""Arenaria ciliata""",Isabelle,2,
Dianthus pungens,"TI=""Dianthus pungens"" OR AB=""Dianthus pungens"" OR AK=""Dianthus pungens""",Isabelle,2,
Dianthus repens,"TI=""Dianthus repens"" OR AB=""Dianthus repens"" OR AK=""Dianthus repens""",Isabelle,1,
Dianthus pratensis,"TI=""Dianthus pratensis"" OR AB=""Dianthus pratensis"" OR AK=""Dianthus pratensis""",Isabelle,0,
Silene meyeri,"TI=""Silene meyeri"" OR AB=""Silene meyeri"" OR AK=""Silene meyeri""",Isabelle,0,
Dianthus broteri,"TI=""Dianthus broteri"" OR AB=""Dianthus broteri"" OR AK=""Dianthus broteri""",Isabelle,6,
Sagina nivalis,"TI=""Sagina nivalis"" OR AB=""Sagina nivalis"" OR AK=""Sagina nivalis""",Isabelle,3,
Silene virginica,"TI=""Silene virginica"" OR AB=""Silene virginica"" OR AK=""Silene virginica""",Isabelle,11,
Cerastium tomentosum,"TI=""Cerastium tomentosum"" OR AB=""Cerastium tomentosum"" OR AK=""Cerastium tomentosum""",Isabelle,4,
Dianthus marschallii,"TI=""Dianthus marschallii"" OR AB=""Dianthus marschallii"" OR AK=""Dianthus marschallii""",Isabelle,0,
Minuartia adenotricha,"TI=""Minuartia adenotricha"" OR AB=""Minuartia adenotricha"" OR AK=""Minuartia adenotricha""",Isabelle,0,
Silene densiflora,"TI=""Silene densiflora"" OR AB=""Silene densiflora"" OR AK=""Silene densiflora""",Isabelle,0,
Silene scabriflora,"TI=""Silene scabriflora"" OR AB=""Silene scabriflora"" OR AK=""Silene scabriflora""",Isabelle,2,
Herniaria ciliolata,"TI=""Herniaria ciliolata"" OR AB=""Herniaria ciliolata"" OR AK=""Herniaria ciliolata""",Isabelle,0,
Sagina saginoides,"TI=""Sagina saginoides"" OR AB=""Sagina saginoides"" OR AK=""Sagina saginoides""",Isabelle,3,
Silene uniflora,"TI=""Silene uniflora"" OR AB=""Silene uniflora"" OR AK=""Silene uniflora""",Isabelle,11,
Dianthus tabrisianus,"TI=""Dianthus tabrisianus"" OR AB=""Dianthus tabrisianus"" OR AK=""Dianthus tabrisianus""",Isabelle,0,
Silene viridiflora,"TI=""Silene viridiflora"" OR AB=""Silene viridiflora"" OR AK=""Silene viridiflora""",Isabelle,11,
Acanthophyllum cyrtostegium,"TI=""Acanthophyllum cyrtostegium"" OR AB=""Acanthophyllum cyrtostegium"" OR AK=""Acanthophyllum cyrtostegium""",Isabelle,0,
Acanthophyllum krascheninnikovii,"TI=""Acanthophyllum krascheninnikovii"" OR AB=""Acanthophyllum krascheninnikovii"" OR AK=""Acanthophyllum krascheninnikovii""",Isabelle,0,
Silene involucrata,"TI=""Silene involucrata"" OR AB=""Silene involucrata"" OR AK=""Silene involucrata""",Isabelle,3,
Silene songarica,"TI=""Silene songarica"" OR AB=""Silene songarica"" OR AK=""Silene songarica""",Isabelle,0,
Silene altaica,"TI=""Silene altaica"" OR AB=""Silene altaica"" OR AK=""Silene altaica""",Isabelle,0,
Oberna multifida,"TI=""Oberna multifida"" OR AB=""Oberna multifida"" OR AK=""Oberna multifida""",Isabelle,1,
Cerastium sylvaticum,"TI=""Cerastium sylvaticum"" OR AB=""Cerastium sylvaticum"" OR AK=""Cerastium sylvaticum""",Isabelle,1,
Silene nivea,"TI=""Silene nivea"" OR AB=""Silene nivea"" OR AK=""Silene nivea""",Isabelle,0,
Cerastium soratense,"TI=""Cerastium soratense"" OR AB=""Cerastium soratense"" OR AK=""Cerastium soratense""",Isabelle,0,
Silene magellanica,"TI=""Silene magellanica"" OR AB=""Silene magellanica"" OR AK=""Silene magellanica""",Isabelle,0,
Silene patagonica,"TI=""Silene patagonica"" OR AB=""Silene patagonica"" OR AK=""Silene patagonica""",Isabelle,0,
Arenaria serpens,"TI=""Arenaria serpens"" OR AB=""Arenaria serpens"" OR AK=""Arenaria serpens""",Isabelle,0,
Minuartia glomerata,"TI=""Minuartia glomerata"" OR AB=""Minuartia glomerata"" OR AK=""Minuartia glomerata""",Isabelle,0,
Cerastium moesiacum,"TI=""Cerastium moesiacum"" OR AB=""Cerastium moesiacum"" OR AK=""Cerastium moesiacum""",Isabelle,0,
Dianthus microlepis,"TI=""Dianthus microlepis"" OR AB=""Dianthus microlepis"" OR AK=""Dianthus microlepis""",Isabelle,0,
Dianthus subacaulis,"TI=""Dianthus subacaulis"" OR AB=""Dianthus subacaulis"" OR AK=""Dianthus subacaulis""",Isabelle,0,
Dianthus lusitanus,"TI=""Dianthus lusitanus"" OR AB=""Dianthus lusitanus"" OR AK=""Dianthus lusitanus""",Isabelle,0,
Dianthus algetanus,"TI=""Dianthus algetanus"" OR AB=""Dianthus algetanus"" OR AK=""Dianthus algetanus""",Isabelle,0,
Dianthus pyrenaicus,"TI=""Dianthus pyrenaicus"" OR AB=""Dianthus pyrenaicus"" OR AK=""Dianthus pyrenaicus""",Isabelle,0,
Dianthus langeanus,"TI=""Dianthus langeanus"" OR AB=""Dianthus langeanus"" OR AK=""Dianthus langeanus""",Isabelle,0,
Dianthus legionensis,"TI=""Dianthus legionensis"" OR AB=""Dianthus legionensis"" OR AK=""Dianthus legionensis""",Isabelle,0,
Silene marizii,"TI=""Silene marizii"" OR AB=""Silene marizii"" OR AK=""Silene marizii""",Isabelle,1,
Sabulina villarsii,"TI=""Sabulina villarsii"" OR AB=""Sabulina villarsii"" OR AK=""Sabulina villarsii""",Isabelle,0,
Minuartia recurva,"TI=""Minuartia recurva"" OR AB=""Minuartia recurva"" OR AK=""Minuartia recurva""",Isabelle,3,
Silene andryalifolia,"TI=""Silene andryalifolia"" OR AB=""Silene andryalifolia"" OR AK=""Silene andryalifolia""",Isabelle,0,
Silene ciliata,"TI=""Silene ciliata"" OR AB=""Silene ciliata"" OR AK=""Silene ciliata""",Isabelle,17,
Arenaria obtusiflora,"TI=""Arenaria obtusiflora"" OR AB=""Arenaria obtusiflora"" OR AK=""Arenaria obtusiflora""",Isabelle,0,
Moehringia pentandra,"TI=""Moehringia pentandra"" OR AB=""Moehringia pentandra"" OR AK=""Moehringia pentandra""",Isabelle,0,
Arenaria leptoclados,"TI=""Arenaria leptoclados"" OR AB=""Arenaria leptoclados"" OR AK=""Arenaria leptoclados""",Isabelle,6,
Silene colorata,"TI=""Silene colorata"" OR AB=""Silene colorata"" OR AK=""Silene colorata""",Isabelle,5,
Cerastium ramosissimum,"TI=""Cerastium ramosissimum"" OR AB=""Cerastium ramosissimum"" OR AK=""Cerastium ramosissimum""",Isabelle,0,
Bufonia virgata,"TI=""Bufonia virgata"" OR AB=""Bufonia virgata"" OR AK=""Bufonia virgata""",Isabelle,0,
Petrorhagia alpina,"TI=""Petrorhagia alpina"" OR AB=""Petrorhagia alpina"" OR AK=""Petrorhagia alpina""",Isabelle,2,
Cerastium furcatum,"TI=""Cerastium furcatum"" OR AB=""Cerastium furcatum"" OR AK=""Cerastium furcatum""",Isabelle,0,
Stellaria fenzlii,"TI=""Stellaria fenzlii"" OR AB=""Stellaria fenzlii"" OR AK=""Stellaria fenzlii""",Isabelle,0,
Stellaria nipponica,"TI=""Stellaria nipponica"" OR AB=""Stellaria nipponica"" OR AK=""Stellaria nipponica""",Isabelle,0,
Stellaria radicans,"TI=""Stellaria radicans"" OR AB=""Stellaria radicans"" OR AK=""Stellaria radicans""",Isabelle,0,
Stellaria diversiflora,"TI=""Stellaria diversiflora"" OR AB=""Stellaria diversiflora"" OR AK=""Stellaria diversiflora""",Isabelle,0,
Dianthus caryophylloides,"TI=""Dianthus caryophylloides"" OR AB=""Dianthus caryophylloides"" OR AK=""Dianthus caryophylloides""",Isabelle,0,
Silene borysthenica,"TI=""Silene borysthenica"" OR AB=""Silene borysthenica"" OR AK=""Silene borysthenica""",Isabelle,0,
Dianthus serotinus,"TI=""Dianthus serotinus"" OR AB=""Dianthus serotinus"" OR AK=""Dianthus serotinus""",Isabelle,1,
Brachystemma calycinum,"TI=""Brachystemma calycinum"" OR AB=""Brachystemma calycinum"" OR AK=""Brachystemma calycinum""",Isabelle,13,
Minuartia austriaca,"TI=""Minuartia austriaca"" OR AB=""Minuartia austriaca"" OR AK=""Minuartia austriaca""",Isabelle,0,
Silene eriocalycina,"TI=""Silene eriocalycina"" OR AB=""Silene eriocalycina"" OR AK=""Silene eriocalycina""",Isabelle,1,
Lepyrodiclis holosteoides,"TI=""Lepyrodiclis holosteoides"" OR AB=""Lepyrodiclis holosteoides"" OR AK=""Lepyrodiclis holosteoides""",Isabelle,1,
Dianthus versicolor,"TI=""Dianthus versicolor"" OR AB=""Dianthus versicolor"" OR AK=""Dianthus versicolor""",Isabelle,5,
Lychnis fulgens,"TI=""Lychnis fulgens"" OR AB=""Lychnis fulgens"" OR AK=""Lychnis fulgens""",Isabelle,1,
Ixoca quadrifida,"TI=""Ixoca quadrifida"" OR AB=""Ixoca quadrifida"" OR AK=""Ixoca quadrifida""",Isabelle,0,
Silene sinensis,"TI=""Silene sinensis"" OR AB=""Silene sinensis"" OR AK=""Silene sinensis""",Isabelle,0,
Sabulina californica,"TI=""Sabulina californica"" OR AB=""Sabulina californica"" OR AK=""Sabulina californica""",Isabelle,0,
Minuartia verna,"TI=""Minuartia verna"" OR AB=""Minuartia verna"" OR AK=""Minuartia verna""",Isabelle,16,
Minuartia pusilla,"TI=""Minuartia pusilla"" OR AB=""Minuartia pusilla"" OR AK=""Minuartia pusilla""",Isabelle,0,
Silene verecunda,"TI=""Silene verecunda"" OR AB=""Silene verecunda"" OR AK=""Silene verecunda""",Isabelle,1,
Dianthus angulatus,"TI=""Dianthus angulatus"" OR AB=""Dianthus angulatus"" OR AK=""Dianthus angulatus""",Isabelle,2,
Dianthus soongoricus,"TI=""Dianthus soongoricus"" OR AB=""Dianthus soongoricus"" OR AK=""Dianthus soongoricus""",Isabelle,0,
Spergularia clevelandi,"TI=""Spergularia clevelandi"" OR AB=""Spergularia clevelandi"" OR AK=""Spergularia clevelandi""",Isabelle,0,
Silene portensis,"TI=""Silene portensis"" OR AB=""Silene portensis"" OR AK=""Silene portensis""",Isabelle,0,
Stellaria crassifolia,"TI=""Stellaria crassifolia"" OR AB=""Stellaria crassifolia"" OR AK=""Stellaria crassifolia""",Isabelle,1,
Arenaria gothica,"TI=""Arenaria gothica"" OR AB=""Arenaria gothica"" OR AK=""Arenaria gothica""",Isabelle,1,
Herniaria hirsuta,"TI=""Herniaria hirsuta"" OR AB=""Herniaria hirsuta"" OR AK=""Herniaria hirsuta""",Isabelle,19,
Sagina subulata,"TI=""Sagina subulata"" OR AB=""Sagina subulata"" OR AK=""Sagina subulata""",Isabelle,0,
Scleranthus perennis,"TI=""Scleranthus perennis"" OR AB=""Scleranthus perennis"" OR AK=""Scleranthus perennis""",Isabelle,3,
Sabulina viscosa,"TI=""Sabulina viscosa"" OR AB=""Sabulina viscosa"" OR AK=""Sabulina viscosa""",Isabelle,0,
Spergula rubra,"TI=""Spergula rubra"" OR AB=""Spergula rubra"" OR AK=""Spergula rubra""",Isabelle,0,
Stellaria apetala,"TI=""Stellaria apetala"" OR AB=""Stellaria apetala"" OR AK=""Stellaria apetala""",Isabelle,0,
Minuartia hamata,"TI=""Minuartia hamata"" OR AB=""Minuartia hamata"" OR AK=""Minuartia hamata""",Isabelle,1,
Herniaria incana,"TI=""Herniaria incana"" OR AB=""Herniaria incana"" OR AK=""Herniaria incana""",Isabelle,2,
Moehringia muscosa,"TI=""Moehringia muscosa"" OR AB=""Moehringia muscosa"" OR AK=""Moehringia muscosa""",Isabelle,2,
Moehringia pendula,"TI=""Moehringia pendula"" OR AB=""Moehringia pendula"" OR AK=""Moehringia pendula""",Isabelle,1,
Dianthus pinifolius,"TI=""Dianthus pinifolius"" OR AB=""Dianthus pinifolius"" OR AK=""Dianthus pinifolius""",Isabelle,3,
Dianthus roseoluteus,"TI=""Dianthus roseoluteus"" OR AB=""Dianthus roseoluteus"" OR AK=""Dianthus roseoluteus""",Isabelle,1,
Dianthus viscidus,"TI=""Dianthus viscidus"" OR AB=""Dianthus viscidus"" OR AK=""Dianthus viscidus""",Isabelle,1,
Petrorhagia dubia,"TI=""Petrorhagia dubia"" OR AB=""Petrorhagia dubia"" OR AK=""Petrorhagia dubia""",Isabelle,0,
Velezia rigida,"TI=""Velezia rigida"" OR AB=""Velezia rigida"" OR AK=""Velezia rigida""",Isabelle,1,
Silene caliacrae,"TI=""Silene caliacrae"" OR AB=""Silene caliacrae"" OR AK=""Silene caliacrae""",Isabelle,0,
Silene thymifolia,"TI=""Silene thymifolia"" OR AB=""Silene thymifolia"" OR AK=""Silene thymifolia""",Isabelle,0,
Silene wilfordii,"TI=""Silene wilfordii"" OR AB=""Silene wilfordii"" OR AK=""Silene wilfordii""",Isabelle,0,
Dianthus littorosus,"TI=""Dianthus littorosus"" OR AB=""Dianthus littorosus"" OR AK=""Dianthus littorosus""",Isabelle,0,
Gypsophila struthium,"TI=""Gypsophila struthium"" OR AB=""Gypsophila struthium"" OR AK=""Gypsophila struthium""",Isabelle,13,
Dianthus jacquemontii,"TI=""Dianthus jacquemontii"" OR AB=""Dianthus jacquemontii"" OR AK=""Dianthus jacquemontii""",Isabelle,2,
Dianthus leptopetalus,"TI=""Dianthus leptopetalus"" OR AB=""Dianthus leptopetalus"" OR AK=""Dianthus leptopetalus""",Hildi,0,
Eremogone gypsophiloides,"TI=""Eremogone gypsophiloides"" OR AB=""Eremogone gypsophiloides"" OR AK=""Eremogone gypsophiloides""",Hildi,0,
Dianthus cretaceus,"TI=""Dianthus cretaceus"" OR AB=""Dianthus cretaceus"" OR AK=""Dianthus cretaceus""",Hildi,0,
Dianthus libanotis,"TI=""Dianthus libanotis"" OR AB=""Dianthus libanotis"" OR AK=""Dianthus libanotis""",Hildi,0,
Dianthus bicolor,"TI=""Dianthus bicolor"" OR AB=""Dianthus bicolor"" OR AK=""Dianthus bicolor""",Hildi,0,
Dianthus subulosus,"TI=""Dianthus subulosus"" OR AB=""Dianthus subulosus"" OR AK=""Dianthus subulosus""",Hildi,0,
Silene marshallii,"TI=""Silene marshallii"" OR AB=""Silene marshallii"" OR AK=""Silene marshallii""",Hildi,0,
Silene sisianica,"TI=""Silene sisianica"" OR AB=""Silene sisianica"" OR AK=""Silene sisianica""",Hildi,0,
Eremogone graminea,"TI=""Eremogone graminea"" OR AB=""Eremogone graminea"" OR AK=""Eremogone graminea""",Hildi,0,
Gypsophila aretioides,"TI=""Gypsophila aretioides"" OR AB=""Gypsophila aretioides"" OR AK=""Gypsophila aretioides""",Hildi,2,
Acanthophyllum mucronatum,"TI=""Acanthophyllum mucronatum"" OR AB=""Acanthophyllum mucronatum"" OR AK=""Acanthophyllum mucronatum""",Hildi,0,
Cerastium riaei,"TI=""Cerastium riaei"" OR AB=""Cerastium riaei"" OR AK=""Cerastium riaei""",Hildi,0,
Herniaria maritima,"TI=""Herniaria maritima"" OR AB=""Herniaria maritima"" OR AK=""Herniaria maritima""",Hildi,0,
Paronychia lenticulata,"TI=""Paronychia lenticulata"" OR AB=""Paronychia lenticulata"" OR AK=""Paronychia lenticulata""",Hildi,0,
Dianthus gratianopolitanus,"TI=""Dianthus gratianopolitanus"" OR AB=""Dianthus gratianopolitanus"" OR AK=""Dianthus gratianopolitanus""",Hildi,6,
Silene jenisseensis,"TI=""Silene jenisseensis"" OR AB=""Silene jenisseensis"" OR AK=""Silene jenisseensis""",Hildi,5,
Dianthus capitatus,"TI=""Dianthus capitatus"" OR AB=""Dianthus capitatus"" OR AK=""Dianthus capitatus""",Hildi,5,
Spergularia rubra,"TI=""Spergularia rubra"" OR AB=""Spergularia rubra"" OR AK=""Spergularia rubra""",Hildi,10,
Scleranthus diander,"TI=""Scleranthus diander"" OR AB=""Scleranthus diander"" OR AK=""Scleranthus diander""",Hildi,0,
Drymaria ovata,"TI=""Drymaria ovata"" OR AB=""Drymaria ovata"" OR AK=""Drymaria ovata""",Hildi,0,
Spergula maxima,"TI=""Spergula maxima"" OR AB=""Spergula maxima"" OR AK=""Spergula maxima""",Hildi,2,
Saponaria cerastoides,"TI=""Saponaria cerastoides"" OR AB=""Saponaria cerastoides"" OR AK=""Saponaria cerastoides""",Hildi,0,
Silene swertiifolia,"TI=""Silene swertiifolia"" OR AB=""Silene swertiifolia"" OR AK=""Silene swertiifolia""",Hildi,0,
Silene paucifolia,"TI=""Silene paucifolia"" OR AB=""Silene paucifolia"" OR AK=""Silene paucifolia""",Hildi,0,
Stellaria patens,"TI=""Stellaria patens"" OR AB=""Stellaria patens"" OR AK=""Stellaria patens""",Hildi,0,
Dianthus polymorphus,"TI=""Dianthus polymorphus"" OR AB=""Dianthus polymorphus"" OR AK=""Dianthus polymorphus""",Hildi,0,
Dianthus pseudarmeria,"TI=""Dianthus pseudarmeria"" OR AB=""Dianthus pseudarmeria"" OR AK=""Dianthus pseudarmeria""",Hildi,0,
Cerastium afromontanum,"TI=""Cerastium afromontanum"" OR AB=""Cerastium afromontanum"" OR AK=""Cerastium afromontanum""",Hildi,0,
Moehringia grisebachii,"TI=""Moehringia grisebachii"" OR AB=""Moehringia grisebachii"" OR AK=""Moehringia grisebachii""",Hildi,0,
Cerastium uniflorum,"TI=""Cerastium uniflorum"" OR AB=""Cerastium uniflorum"" OR AK=""Cerastium uniflorum""",Hildi,9,
Minuartiella pestalozzae,"TI=""Minuartiella pestalozzae"" OR AB=""Minuartiella pestalozzae"" OR AK=""Minuartiella pestalozzae""",Hildi,0,
Arenaria peyritschii,"TI=""Arenaria peyritschii"" OR AB=""Arenaria peyritschii"" OR AK=""Arenaria peyritschii""",Hildi,0,
Cerastium diffusum,"TI=""Cerastium diffusum"" OR AB=""Cerastium diffusum"" OR AK=""Cerastium diffusum""",Hildi,0,
Gypsophila pallida,"TI=""Gypsophila pallida"" OR AB=""Gypsophila pallida"" OR AK=""Gypsophila pallida""",Hildi,0,
Arenaria pungens,"TI=""Arenaria pungens"" OR AB=""Arenaria pungens"" OR AK=""Arenaria pungens""",Hildi,0,
Dianthus longicaulis,"TI=""Dianthus longicaulis"" OR AB=""Dianthus longicaulis"" OR AK=""Dianthus longicaulis""",Hildi,0,
Silene yetii,"TI=""Silene yetii"" OR AB=""Silene yetii"" OR AK=""Silene yetii""",Hildi,0,
Silene aucheriana,"TI=""Silene aucheriana"" OR AB=""Silene aucheriana"" OR AK=""Silene aucheriana""",Hildi,0,
Spergularia salina,"TI=""Spergularia salina"" OR AB=""Spergularia salina"" OR AK=""Spergularia salina""",Hildi,4,
Silene zawadskii,"TI=""Silene zawadskii"" OR AB=""Silene zawadskii"" OR AK=""Silene zawadskii""",Hildi,0,
Sagina maxima,"TI=""Sagina maxima"" OR AB=""Sagina maxima"" OR AK=""Sagina maxima""",Hildi,0,
Arenaria orbiculata,"TI=""Arenaria orbiculata"" OR AB=""Arenaria orbiculata"" OR AK=""Arenaria orbiculata""",Hildi,2,
Silene sorensenis,"TI=""Silene sorensenis"" OR AB=""Silene sorensenis"" OR AK=""Silene sorensenis""",Hildi,1,
Saponaria cerastioides,"TI=""Saponaria cerastioides"" OR AB=""Saponaria cerastioides"" OR AK=""Saponaria cerastioides""",Hildi,0,
