Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Mononeuria groenlandica,"TI=""Mononeuria groenlandica"" OR AB=""Mononeuria groenlandica"" OR AK=""Mononeuria groenlandica""",Michael,0,synonym as Minuartia groenlandica has 1
Stellaria umbellata,"TI=""Stellaria umbellata"" OR AB=""Stellaria umbellata"" OR AK=""Stellaria umbellata""",Michael,0,
Eremogone franklinii,"TI=""Eremogone franklinii"" OR AB=""Eremogone franklinii"" OR AK=""Eremogone franklinii""",Michael,0,
Wilhelmsia physodes,"TI=""Wilhelmsia physodes"" OR AB=""Wilhelmsia physodes"" OR AK=""Wilhelmsia physodes""",Michael,2,
Silene douglasii,"TI=""Silene douglasii"" OR AB=""Silene douglasii"" OR AK=""Silene douglasii""",Michael,5,
Stellaria humifusa,"TI=""Stellaria humifusa"" OR AB=""Stellaria humifusa"" OR AK=""Stellaria humifusa""",Michael,1,
Spergula arvensis,"TI=""Spergula arvensis"" OR AB=""Spergula arvensis"" OR AK=""Spergula arvensis""",Michael,85,
Cerastium maximum,"TI=""Cerastium maximum"" OR AB=""Cerastium maximum"" OR AK=""Cerastium maximum""",Michael,0,
Gypsophila elegans,"TI=""Gypsophila elegans"" OR AB=""Gypsophila elegans"" OR AK=""Gypsophila elegans""",Michael,16,
Minuartia nuttallii,"TI=""Minuartia nuttallii"" OR AB=""Minuartia nuttallii"" OR AK=""Minuartia nuttallii""",Michael,0,
Silene stellata,"TI=""Silene stellata"" OR AB=""Silene stellata"" OR AK=""Silene stellata""",Michael,12,
Moehringia macrophylla,"TI=""Moehringia macrophylla"" OR AB=""Moehringia macrophylla"" OR AK=""Moehringia macrophylla""",Michael,0,
Silene campanulata,"TI=""Silene campanulata"" OR AB=""Silene campanulata"" OR AK=""Silene campanulata""",Michael,0,
Silene cserei,"TI=""Silene cserei"" OR AB=""Silene cserei"" OR AK=""Silene cserei""",Michael,2,
Silene oregana,"TI=""Silene oregana"" OR AB=""Silene oregana"" OR AK=""Silene oregana""",Michael,0,
Silene caroliniana,"TI=""Silene caroliniana"" OR AB=""Silene caroliniana"" OR AK=""Silene caroliniana""",Michael,2,
Silene uralensis,"TI=""Silene uralensis"" OR AB=""Silene uralensis"" OR AK=""Silene uralensis""",Michael,3,
Silene watsonii,"TI=""Silene watsonii"" OR AB=""Silene watsonii"" OR AK=""Silene watsonii""",Michael,0,
Silene scouleri,"TI=""Silene scouleri"" OR AB=""Silene scouleri"" OR AK=""Silene scouleri""",Michael,0,
Eremogone capillaris,"TI=""Eremogone capillaris"" OR AB=""Eremogone capillaris"" OR AK=""Eremogone capillaris""",Michael,1,
Silene drummondii,"TI=""Silene drummondii"" OR AB=""Silene drummondii"" OR AK=""Silene drummondii""",Michael,0,
Silene hookeri,"TI=""Silene hookeri"" OR AB=""Silene hookeri"" OR AK=""Silene hookeri""",Michael,0,
Sabulina douglasii,"TI=""Sabulina douglasii"" OR AB=""Sabulina douglasii"" OR AK=""Sabulina douglasii""",Michael,0,
Pseudostellaria jamesiana,"TI=""Pseudostellaria jamesiana"" OR AB=""Pseudostellaria jamesiana"" OR AK=""Pseudostellaria jamesiana""",Michael,0,
Silene acaulis,"TI=""Silene acaulis"" OR AB=""Silene acaulis"" OR AK=""Silene acaulis""",Michael,84,
Gypsophila perfoliata,"TI=""Gypsophila perfoliata"" OR AB=""Gypsophila perfoliata"" OR AK=""Gypsophila perfoliata""",Michael,7,
Gypsophila fastigiata,"TI=""Gypsophila fastigiata"" OR AB=""Gypsophila fastigiata"" OR AK=""Gypsophila fastigiata""",Michael,10,
Gypsophila bicolor,"TI=""Gypsophila bicolor"" OR AB=""Gypsophila bicolor"" OR AK=""Gypsophila bicolor""",Michael,4,
Gypsophila altissima,"TI=""Gypsophila altissima"" OR AB=""Gypsophila altissima"" OR AK=""Gypsophila altissima""",Michael,1,
Gypsophila repens,"TI=""Gypsophila repens"" OR AB=""Gypsophila repens"" OR AK=""Gypsophila repens""",Michael,10,
Petrorhagia prolifera,"TI=""Petrorhagia prolifera"" OR AB=""Petrorhagia prolifera"" OR AK=""Petrorhagia prolifera""",Michael,5,
Dianthus superbus,"TI=""Dianthus superbus"" OR AB=""Dianthus superbus"" OR AK=""Dianthus superbus""",Michael,49,
