,Primate_host,Mating_System,Presence_of_Mating_Season,Mating_Season_Length,Presence_of_Birthing_Season,Birth_Season_Length,Gestation_Period,Male_kg,Female_kg,Mean_lat_GMPD,GMPD_citations,WoS_citations,Total_PSR,Chao_PSR,TotaltrepPrev,TotalSIVPrev,SexualPSR,VerticalPSR,directPSR,indirectPSR,ClosePSR,NonclosePSR,VectorPSR,IntermediatePSR,Sexual_chao,Vertical_chao,Direct_chao,Indirect_chao,CloseT_chao,Nonclose_chao,Vector_chao,Intermediate_chao,BE07phy_species,TenkTr_species
102,Papio_papio,Polygyny,N,12,NA,NA,184,NA,12.1,11.17858333,12,494,27,75.4,NA,NA,2,1,17,12,9,14,4,7,2.5,NA,49.66666667,25.5,21.25,50,10,13.25,NA,Papio_papio
103,Papio_ursinus,Polygamy,N,12,N,12,NA,29.8,14.8,-25.4130426,41,424,64,111.1153846,NA,NA,4,4,46,26,29,32,5,13,5,5,66.34615385,50.5,49.64285714,39,15,41,NA,Papio_ursinus
104,Perodicticus_potto,Polygamy,N,12,Y,6,199,1.25,1.21,2.604804444,6,67,8,17,NA,NA,NA,NA,1,8,NA,1,4,2,NA,NA,NA,17,NA,NA,5,3,Perodicticus_potto,Perodicticus_potto
105,Pithecia_irrorata,NA,NA,NA,NA,NA,165,2.25,2.07,-9.106666667,3,19,6,18.5,NA,NA,NA,NA,NA,6,NA,NA,6,NA,NA,NA,NA,18.5,NA,NA,18.5,NA,Pithecia_irrorata,Pithecia_irrorata
106,Pithecia_pithecia,Monogamy,N,12,N,12,NA,1.94,1.58,1.243076923,12,76,13,26.5,NA,NA,NA,NA,3,9,2,2,8,NA,NA,NA,5,18,2.5,2.5,14.25,NA,Pithecia_pithecia,Pithecia_pithecia
107,Pongo_pygmaeus,Polygamy,N,12,N,12,274,77.9,35.6,2.931448667,19,741,32,42.32142857,NA,0,3,2,19,12,13,12,8,3,5,2.5,26.5625,14.08333333,15.57142857,16.9,8.083333333,6,Pongo_pygmaeus,Pongo_pygmaeus
108,Presbytis_cristata,Polygyny,N,12,N,12,198,6.61,5.76,1.831555714,16,27,24,52.9,NA,NA,NA,NA,10,15,6,8,11,3,NA,NA,50.5,25.125,18.5,32.5,14.125,6,Trachypithecus_cristatus,Presbytis_cristata
109,Presbytis_entellus,NA,Y,5,Y,6,209,19.2,14.8,14.46308889,18,184,17,115,NA,NA,NA,NA,14,5,9,9,3,NA,NA,NA,98.5,8,41,41,3,NA,Semnopithecus_entellus,Presbytis_entellus
110,Presbytis_francoisi,Polygyny,N,12,NA,NA,182.4,7.7,7.35,10.5,1,8,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Trachypithecus_francoisi,Presbytis_francoisi
111,Presbytis_melalophos,Polygyny,NA,NA,NA,NA,NA,6.59,6.47,5.725,6,20,6,10,NA,NA,NA,NA,NA,6,NA,NA,6,NA,NA,NA,NA,10,NA,NA,10,NA,Presbytis_melalophos,Presbytis_melalophos
112,Presbytis_obscura,Polygyny,N,12,N,12,145,7.9,6.26,3.60625,9,9,4,4.5,NA,NA,NA,NA,1,3,1,1,3,NA,NA,NA,NA,3.5,NA,NA,3.5,NA,Trachypithecus_obscurus,Presbytis_obscura
113,Presbytis_phayrei,Polygyny,NA,NA,NA,NA,NA,7.87,6.3,26,3,4,2,2.5,NA,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,2.5,NA,2.5,2.5,NA,NA,Trachypithecus_phayrei,Presbytis_phayrei
114,Procolobus_verus,Polygyny,NA,NA,N,12,168,4.7,4.2,6.21,2,21,15,120,NA,NA,1,1,14,2,7,12,NA,1,NA,NA,105,3,28,78,NA,NA,Procolobus_verus,Procolobus_verus
115,Propithecus_diadema,Polygamy,Y,3,Y,3,158,5.94,6.26,-17.11064773,10,93,16,22.75,NA,0,NA,NA,10,4,6,8,NA,4,NA,NA,16,4.166666667,10,14.25,NA,4.166666667,Propithecus_diadema,Propithecus_diadema
116,Propithecus_verreauxi,Polygyny,Y,2.5,Y,4,NA,3.25,2.95,-21.13867692,13,221,19,47.16666667,NA,NA,NA,1,13,6,8,10,4,1,NA,NA,53.5,10,26,31,5,NA,Propithecus_verreauxi,Propithecus_verreauxi
117,Pygathrix_roxellana,Polygamy,Y,4,Y,4,NA,17.9,11.6,27.6,1,3,4,NA,NA,NA,NA,NA,4,NA,NA,4,NA,1,NA,NA,10,NA,NA,10,NA,NA,Pygathrix_roxellana,Pygathrix_roxellana
118,Saguinus_bicolor,Monogamy,N,12,N,12,145,0.428,0.43,-2.46,1,21,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saguinus_bicolor,Saguinus_bicolor
119,Saguinus_fuscicollis,Polyandry,Y,10,Y,7,NA,0.343,0.358,-9.112691667,8,223,31,161.6666667,NA,NA,NA,NA,11,20,4,9,9,11,NA,NA,61,101,8.5,41,41,61,Saguinus_fuscicollis,Saguinus_fuscicollis
120,Saguinus_imperator,Polyandry,Y,6,Y,6,145,0.474,0.475,-12.569,2,39,3,6,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,6,NA,NA,6,NA,Saguinus_imperator,Saguinus_imperator
121,Saguinus_leucopus,Polyandry,Y,NA,Y,NA,140,0.494,0.49,-2.49125,4,28,8,32.5,NA,NA,NA,NA,5,4,NA,3,2,1,NA,NA,15,8.5,NA,6,2.5,NA,Saguinus_leucopus,Saguinus_leucopus
122,Saguinus_midas,Polyandry,Y,4,NA,NA,155,0.515,0.575,-1.193703704,17,67,16,32.66666667,NA,NA,NA,NA,3,11,2,1,10,1,NA,NA,6,15.16666667,3,NA,12.66666667,NA,Saguinus_midas,Saguinus_midas
123,Saguinus_mystax,Polyandry,N,12,Y,9,150,0.51,0.539,-4.176535714,8,134,16,58.25,NA,NA,NA,NA,4,12,2,3,3,9,NA,NA,8.5,62,2.5,6,5,37,Saguinus_mystax,Saguinus_mystax
124,Saguinus_oedipus,Monogamy,N,12,Y,4,182,0.418,0.404,8.391111111,12,459,14,44.25,NA,NA,NA,NA,2,12,1,2,11,1,NA,NA,3,32.25,NA,3,27,NA,Saguinus_oedipus,Saguinus_oedipus
125,Saimiri_boliviensis,Polygamy,Y,2.5,NA,NA,165,0.911,0.711,-10,1,152,5,NA,NA,NA,NA,NA,2,3,1,2,NA,3,NA,NA,3,6,NA,3,NA,6,Saimiri_boliviensis,Saimiri_boliviensis
126,Saimiri_oerstedii,Polygamy,Y,2.5,Y,2.5,154,0.897,0.68,8.379442292,8,22,15,99.5,NA,NA,NA,1,4,11,2,2,8,3,NA,NA,8.5,56,2.5,2.5,29,6,Saimiri_oerstedii,Saimiri_oerstedii
127,Saimiri_sciureus,Polygamy,Y,3,Y,3,150,0.779,0.662,-2.749220882,31,1182,35,63.57142857,NA,NA,NA,NA,12,23,4,11,16,6,NA,NA,20.16666667,44.125,6,23.25,26.66666667,14,Saimiri_sciureus,Saimiri_sciureus
128,Saimiri_ustus,Polygamy,NA,NA,NA,NA,NA,0.921,0.799,-8.13,3,11,4,4,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,4,NA,NA,4,NA,Saimiri_ustus,Saimiri_ustus
129,Tarsius_bancanus,Monogamy,N,12,NA,NA,NA,0.128,0.117,5.095,1,46,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,3,NA,NA,NA,3,Tarsius_bancanus,Tarsius_bancanus
130,Varecia_variegata,Polygyny,Y,3,NA,NA,97,3.63,3.52,-19.26558333,5,196,14,98.5,NA,NA,NA,NA,11,4,3,9,2,NA,NA,NA,61,6,6,41,3,NA,Varecia_variegata,Varecia_variegata
