,Primate_host,Mating_System,Presence_of_Mating_Season,Mating_Season_Length,Presence_of_Birthing_Season,Birth_Season_Length,Gestation_Period,Male_kg,Female_kg,Mean_lat_GMPD,GMPD_citations,WoS_citations,Total_PSR,Chao_PSR,TotaltrepPrev,TotalSIVPrev,SexualPSR,VerticalPSR,directPSR,indirectPSR,ClosePSR,NonclosePSR,VectorPSR,IntermediatePSR,Sexual_chao,Vertical_chao,Direct_chao,Indirect_chao,CloseT_chao,Nonclose_chao,Vector_chao,Intermediate_chao,BE07phy_species,TenkTr_species
24,Cercocebus_albigena,Polygamy,N,12,N,12,186.5,8.25,6.02,2.174425238,14,42,24,38.0625,NA,0.33,2,3,18,8,11,14,5,1,3,6,30,14.25,13.08333333,19.33333333,6,NA,Lophocebus_albigena,Cercocebus_albigena
25,Cercocebus_aterrimus,Polygamy,NA,NA,NA,NA,NA,7.84,5.76,-0.815586667,4,7,4,8.5,NA,NA,1,1,1,3,1,NA,3,NA,NA,NA,NA,5,NA,NA,5,NA,NA,Cercocebus_aterrimus
26,Cercocebus_galeritus,Polygyny,NA,NA,Y,9,171,9.61,5.26,2.195590667,11,51,32,43.11538462,NA,0.364,4,5,21,13,9,15,4,8,5,5.666666667,26,21,9.9,17.25,7,10,Cercocebus_galeritus,Cercocebus_galeritus
27,Cercocebus_torquatus,Polygyny,N,12,Y,3,170,9.47,5.5,5.122385614,17,117,28,172,NA,0.206315789,5,4,19,9,11,14,3,5,7,4.5,147,41,43,105,5,15,Cercocebus_torquatus,Cercocebus_torquatus
28,Cercopithecus_aethiops,Polygyny,Y,5,Y,3,164,4.26,2.98,-4.296157788,56,731,61,183.7222222,0,0.441166876,5,4,31,31,17,22,15,11,8,5,79.4,152.5,33.66666667,103,57.25,51.5,Chlorocebus_aethiops,Cercopithecus_aethiops
29,Cercopithecus_ascanius,Polygyny,Y,4,Y,4,152,3.7,2.92,0.26601825,18,109,35,75.33333333,NA,NA,2,3,22,14,16,15,9,4,2.5,5,32.08333333,74.5,22.4,17.5,37,7,Cercopithecus_ascanius,Cercopithecus_ascanius
30,Cercopithecus_campbelli,Polygyny,N,12,N,12,NA,4.5,2.7,6.8925,5,41,19,190,NA,0,1,1,15,4,7,13,2,1,NA,NA,120,10,28,91,3,NA,Cercopithecus_campbelli,Cercopithecus_campbelli
31,Cercopithecus_cephus,Polygyny,Y,3,Y,3,172,4.29,2.88,3.290712308,9,33,12,72.5,NA,0.21,3,5,7,7,4,4,5,NA,5,13,25,28,8.5,10,15,NA,Cercopithecus_cephus,Cercopithecus_cephus
32,Cercopithecus_diana,Polygyny,Y,3,Y,6,NA,5.2,3.9,6.26,5,75,17,153,NA,NA,1,1,13,4,7,11,2,1,NA,NA,91,10,28,66,3,NA,Cercopithecus_diana,Cercopithecus_diana
33,Cercopithecus_hamlyni,Polygyny,NA,NA,Y,5,167,5.49,3.36,-1.6585,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercopithecus_hamlyni,Cercopithecus_hamlyni
34,Cercopithecus_lhoesti,Polygyny,NA,NA,NA,NA,152,5.97,3.45,0.099544444,5,22,4,5,NA,NA,NA,NA,3,2,NA,3,1,NA,NA,NA,3.25,3,NA,3.25,NA,NA,Cercopithecus_lhoesti,Cercopithecus_lhoesti
35,Cercopithecus_mitis,Polygamy,Y,4.5,Y,7,176,7.93,4.25,-2.23336307,18,174,36,77.14285714,NA,NA,3,2,23,14,15,18,5,8,6,3,47.5,26.5,25.66666667,28.125,13,17,Cercopithecus_mitis,Cercopithecus_mitis
36,Cercopithecus_mona,Polygyny,NA,NA,NA,NA,165,5.1,5.1,6.770769231,14,39,12,62,NA,0.5,3,3,6,5,5,1,5,NA,6,6,16,13,15,NA,13,NA,Cercopithecus_mona,Cercopithecus_mona
37,Cercopithecus_neglectus,Polygyny,Y,2,NA,NA,167,7.35,4.13,2.957984,5,38,3,3.25,NA,0.38,2,2,2,1,2,NA,1,NA,2,2,2,NA,2,NA,NA,NA,Cercopithecus_neglectus,Cercopithecus_neglectus
38,Cercopithecus_nictitans,Polygyny,NA,NA,NA,NA,NA,6.67,4.26,2.87424125,12,55,12,32.25,NA,0.2,4,5,6,6,6,1,6,NA,6,9.5,14,18.5,14,NA,18.5,NA,Cercopithecus_nictitans,Cercopithecus_nictitans
39,Cercopithecus_petaurista,Polygyny,NA,NA,NA,NA,180,4.4,2.9,6.76,3,12,17,153,NA,NA,NA,NA,14,3,7,12,1,1,NA,NA,105,6,28,78,NA,NA,Cercopithecus_petaurista,Cercopithecus_petaurista
40,Cercopithecus_pogonias,Polygyny,N,12,N,12,150,4.26,2.9,3.42554,3,13,3,5,NA,0.19,3,3,3,NA,3,NA,NA,NA,5,5,5,NA,5,NA,NA,NA,Cercopithecus_pogonias,Cercopithecus_pogonias
41,Cercopithecus_preussi,Polygyny,NA,NA,NA,NA,152,4.5,4.5,NA,1,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cercopithecus_preussi,Cercopithecus_preussi
42,Cercopithecus_wolfi,Polygyny,N,12,Y,7,165,3.91,2.87,-0.057625,3,6,3,6,NA,NA,2,2,3,NA,3,NA,NA,NA,3,3,6,NA,6,NA,NA,NA,Cercopithecus_wolfi,Cercopithecus_wolfi
43,Cheirogaleus_medius,Monogamy,Y,1.5,Y,0.5,63,0.283,0.282,-21.83371429,6,79,11,17,NA,NA,NA,NA,6,6,1,5,NA,5,NA,NA,8.25,8.25,NA,6,NA,9.5,Cheirogaleus_medius,Cheirogaleus_medius
44,Colobus_angolensis,Polygyny,N,12,N,12,163,9.68,7.57,-1.16775,4,60,7,9.666666667,NA,NA,1,1,6,2,4,5,1,NA,NA,NA,7.5,3,5,5.666666667,NA,NA,Colobus_angolensis,Colobus_angolensis
45,Colobus_badius,Polygamy,N,12,Y,3,152,8.36,8.21,2.018801333,44,41,48,74.04166667,NA,0.366,5,7,37,11,21,28,3,5,5.5,11.5,49.8,23.25,26.33333333,34.72222222,6,7.25,Procolobus_badius,Colobus_badius
46,Colobus_guereza,Polygyny,N,12,N,12,158,13.5,9.2,1.860191333,20,172,26,58.4,NA,0.33,2,2,20,8,12,17,4,2,2.5,2.5,34.4,29,18.125,32.125,10,3,Colobus_guereza,Colobus_guereza
47,Colobus_polykomos,Polygyny,N,12,N,12,182,9.9,8.3,5.759743846,11,52,25,65,NA,NA,1,2,19,4,10,16,2,1,NA,2.5,47.125,5,26,65,2.5,NA,Colobus_polykomos,Colobus_polykomos
48,Daubentonia_madagascariensis,Polygamy,Y,5,Y,8,162,2.62,2.49,-17.92111111,3,111,5,15,NA,NA,NA,NA,4,1,2,3,NA,1,NA,NA,10,NA,3,6,NA,NA,Daubentonia_madagascariensis,Daubentonia_madagascariensis
49,Erythrocebus_patas,Polygyny,Y,4,N,12,NA,12.4,6.5,11.94322078,13,251,14,30.66666667,0.073220339,NA,3,2,10,5,6,7,2,2,3,2,16,15,8.25,25,3,3,Erythrocebus_patas,Erythrocebus_patas
50,Euoticus_elegantulus,Polygyny,N,12,N,12,NA,0.287,0.261,NA,1,7,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Euoticus_elegantulus,Euoticus_elegantulus
51,Galago_alleni,Polygyny,NA,NA,N,NA,130,0.277,0.269,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galago_alleni,Galago_alleni
52,Galago_moholi,Polygyny,Y,NA,Y,NA,NA,0.187,0.173,-15.70666667,6,57,5,13,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,Galago_moholi,Galago_moholi
53,Galago_senegalensis,Polygyny,Y,NA,Y,4,125,0.315,0.25,-5.503853,7,220,8,36,NA,NA,NA,NA,5,4,2,2,2,NA,NA,NA,15,10,3,3,3,NA,Galago_senegalensis,Galago_senegalensis
54,Galagoides_demidoff,Polygyny,NA,NA,Y,8,123,0.063,0.06,-0.770424667,5,4,15,57.25,NA,NA,NA,NA,11,5,2,7,2,2,NA,NA,66,7.25,3,28,2,3,Galagoides_demidoff,Galagoides_demidoff
55,Gorilla_gorilla,Polygamy,N,12,N,12,257,170.4,71.5,0.830749902,66,1160,105,188.5652174,0.166558201,NA,9,10,64,33,40,51,22,11,13.16666667,18.16666667,102.8928571,63.25,69.38888889,88.55555556,43.33333333,43,Gorilla_gorilla,Gorilla_gorilla
56,Hapalemur_aureus,Monogamy,Y,2,Y,2,138,1.52,1.39,-21.26,2,12,3,6,NA,NA,NA,NA,3,NA,3,3,NA,NA,NA,NA,6,NA,6,6,NA,NA,Hapalemur_aureus,Hapalemur_aureus
57,Hapalemur_griseus,Polygyny,Y,6,Y,6,145,0.748,0.67,-21.4366,5,84,5,13,NA,NA,NA,NA,3,2,2,1,2,NA,NA,NA,5,3,3,NA,3,NA,Hapalemur_griseus,Hapalemur_griseus
58,Hapalemur_simus,Monogamy,Y,2,Y,2,149,2.15,1.3,-20.945,3,11,4,10,NA,NA,NA,NA,4,NA,3,4,NA,NA,NA,NA,10,NA,6,10,NA,NA,Hapalemur_simus,Hapalemur_simus
59,Hylobates_concolor,Monogamy,N,12,N,12,213,7.79,7.62,NA,1,36,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hylobates_concolor,Hylobates_concolor
60,Hylobates_hoolock,Monogamy,Y,3,Y,4,204,6.87,6.88,NA,1,18,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hylobates_hoolock,Hylobates_hoolock
61,Hylobates_lar,Polyandry,N,12,N,12,213,5.9,5.34,6.834216667,5,271,15,39,NA,NA,1,NA,8,6,3,7,5,1,NA,NA,36,7.5,6,28,5.666666667,NA,Hylobates_lar,Hylobates_lar
62,Hylobates_pileatus,Monogamy,N,12,NA,NA,NA,5.5,5.44,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hylobates_pileatus,Hylobates_pileatus
63,Hylobates_syndactylus,Monogamy,N,12,N,12,233,11.9,10.7,NA,1,41,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,3,NA,NA,3,NA,NA,Hylobates_syndactylus,Hylobates_syndactylus
64,Indri_indri,Monogamy,Y,4,Y,NA,135,5.83,6.84,-18.74063333,6,61,16,44.16666667,NA,NA,NA,NA,12,6,4,10,1,2,NA,NA,25.5,13,4.166666667,26,NA,3,Indri_indri,Indri_indri
65,Lagothrix_lagotricha,Polygamy,N,12,Y,6,225,7.28,7.02,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lagothrix_lagotricha,Lagothrix_lagotricha
66,Lemur_catta,Polygamy,Y,1,Y,4.5,135,2.21,2.21,-23.91871667,4,640,20,52,NA,NA,NA,2,18,5,7,12,NA,1,NA,3,42.5,15,28,37,NA,NA,Lemur_catta,Lemur_catta
